,Driver 1,Driver 2
0,Nicholas Latifi,Lewis Hamilton
1,Lewis Hamilton,Valtteri Bottas
2,Valtteri Bottas,Max Verstappen
3,Max Verstappen,Sergio Pérez
4,Sergio Pérez,Charles Leclerc
5,Charles Leclerc,Daniel Ricciardo
6,Daniel Ricciardo,Carlos Sainz
7,Carlos Sainz,Lando Norris
8,Lando Norris,Alexander Albon
9,Alexander Albon,Pierre Gasly
10,Pierre Gasly,Lance Stroll
11,Lance Stroll,Esteban Ocon
12,Esteban Ocon,Sebastian Vettel
13,Sebastian Vettel,Daniil Kvyat
14,Daniil Kvyat,Nico Hülkenberg
15,Nico Hülkenberg,Kimi Räikkönen
16,Kimi Räikkönen,Antonio Giovinazzi
17,Antonio Giovinazzi,Romain Grosjean
18,Romain Grosjean,Kevin Magnussen
19,Kevin Magnussen,Nicholas Latifi
